               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037021,            0.024146,           0.0027445,             0.77775,             0.77132,             0.82844,              0.4665,            0.033386,            0.013666,            0.001313,           0.0082675,           0.0082675,           0.0082675
                  37,            0.037091,            0.024289,           0.0026609,              0.7817,             0.77275,             0.83782,             0.47114,            0.033328,            0.013642,           0.0014081,            0.008218,            0.008218,            0.008218
                  38,            0.036977,            0.024303,             0.00273,             0.77559,             0.78402,             0.83835,             0.47562,            0.032962,            0.013616,           0.0012667,           0.0081685,           0.0081685,           0.0081685
                  39,            0.036575,            0.024072,           0.0024946,             0.76977,              0.7849,             0.83545,              0.4748,            0.032759,             0.01353,           0.0013466,            0.008119,            0.008119,            0.008119
                  40,            0.036533,            0.024092,           0.0025089,             0.78158,             0.79413,             0.84183,             0.48331,            0.032514,            0.013463,           0.0013463,           0.0080695,           0.0080695,           0.0080695
                  41,            0.036357,            0.024107,           0.0025626,             0.79085,             0.77168,             0.84021,             0.48423,            0.032659,            0.013385,           0.0013636,             0.00802,             0.00802,             0.00802
                  42,            0.036283,            0.023877,           0.0024982,             0.79039,             0.77579,             0.84022,             0.48501,            0.032367,            0.013388,           0.0013242,           0.0079705,           0.0079705,           0.0079705
                  43,            0.036298,            0.023988,           0.0024786,             0.78736,             0.79151,             0.84918,             0.49296,            0.032121,            0.013301,           0.0012581,            0.007921,            0.007921,            0.007921
                  44,            0.036195,            0.023944,           0.0025193,             0.79523,             0.78523,             0.84806,             0.49468,            0.032226,            0.013262,            0.001254,           0.0078715,           0.0078715,           0.0078715
                  45,            0.035981,            0.023743,           0.0023463,             0.79158,             0.80248,             0.84989,             0.49271,            0.032191,            0.013216,           0.0012193,            0.007822,            0.007822,            0.007822
                  46,            0.035976,            0.023801,           0.0023011,             0.81143,             0.79226,             0.85623,             0.49703,            0.032056,            0.013169,           0.0012571,           0.0077725,           0.0077725,           0.0077725
                  47,            0.035864,            0.023688,           0.0024422,             0.80718,             0.79923,             0.85904,             0.50078,            0.031843,            0.013152,           0.0012742,            0.007723,            0.007723,            0.007723
                  48,            0.035789,            0.023678,           0.0023742,             0.81321,             0.80339,              0.8605,             0.50426,            0.031904,            0.013081,           0.0012486,           0.0076735,           0.0076735,           0.0076735
                  49,             0.03564,            0.023595,           0.0022691,              0.8049,             0.79421,             0.86037,             0.50623,            0.031726,            0.013069,           0.0012649,            0.007624,            0.007624,            0.007624
                  50,            0.035425,            0.023521,           0.0022484,              0.8017,             0.80197,             0.86185,             0.50785,            0.031559,            0.013031,           0.0012231,           0.0075745,           0.0075745,           0.0075745
                  51,            0.035661,            0.023614,           0.0023225,             0.80062,             0.80375,             0.86214,             0.50643,             0.03148,            0.013019,           0.0012991,            0.007525,            0.007525,            0.007525
                  52,            0.035274,            0.023534,           0.0022367,             0.79753,             0.81587,             0.86551,             0.50836,            0.031508,            0.012993,           0.0013029,           0.0074755,           0.0074755,           0.0074755
                  53,            0.035322,            0.023329,           0.0021458,             0.80772,             0.80709,             0.86876,             0.51116,            0.031283,            0.012937,            0.001276,            0.007426,            0.007426,            0.007426
                  54,            0.035158,            0.023421,           0.0022545,             0.80763,             0.81544,             0.86974,             0.51321,            0.031211,            0.012902,            0.001299,           0.0073765,           0.0073765,           0.0073765
                  55,            0.035237,            0.023558,           0.0022052,             0.80219,             0.82402,              0.8722,             0.51625,            0.031101,             0.01286,           0.0012835,            0.007327,            0.007327,            0.007327
                  56,            0.035138,            0.023368,           0.0020785,             0.80438,             0.82644,             0.87398,             0.51848,            0.030943,            0.012816,           0.0012653,           0.0072775,           0.0072775,           0.0072775
                  57,            0.034929,            0.023155,           0.0021583,             0.81161,             0.82241,             0.87474,             0.51933,            0.030787,            0.012754,           0.0012347,            0.007228,            0.007228,            0.007228
                  58,            0.034847,            0.023381,           0.0021533,             0.81234,             0.82575,             0.87675,             0.52252,            0.030669,            0.012714,           0.0011943,           0.0071785,           0.0071785,           0.0071785
                  59,            0.034908,            0.023081,           0.0021348,              0.8105,             0.82551,             0.87931,             0.52314,            0.030608,            0.012693,           0.0011783,            0.007129,            0.007129,            0.007129
                  60,            0.034665,            0.023195,           0.0020658,             0.81208,             0.82459,             0.88029,             0.52559,            0.030554,            0.012672,           0.0011702,           0.0070795,           0.0070795,           0.0070795
                  61,            0.034492,            0.023029,           0.0019621,             0.81983,             0.82154,             0.87868,             0.52693,            0.030451,            0.012621,           0.0011588,             0.00703,             0.00703,             0.00703
                  62,            0.034476,             0.02291,           0.0020915,             0.81078,             0.83461,             0.88007,             0.52834,            0.030361,            0.012595,           0.0011728,           0.0069805,           0.0069805,           0.0069805
                  63,            0.034451,             0.02296,           0.0021078,             0.80671,             0.83982,             0.88039,             0.52784,            0.030321,            0.012589,            0.001167,            0.006931,            0.006931,            0.006931
                  64,            0.034277,            0.023105,           0.0019435,             0.82328,             0.82466,             0.88211,              0.5296,            0.030284,            0.012574,           0.0011554,           0.0068815,           0.0068815,           0.0068815
                  65,            0.033994,            0.022877,           0.0020579,             0.82666,             0.82266,             0.88221,             0.53159,            0.030176,            0.012535,           0.0011581,            0.006832,            0.006832,            0.006832
                  66,            0.033919,             0.02294,           0.0019882,             0.82786,             0.82691,             0.88336,             0.53243,            0.030108,              0.0125,           0.0011403,           0.0067825,           0.0067825,           0.0067825
                  67,            0.034181,            0.022932,            0.002042,             0.83109,             0.83167,             0.88561,             0.53474,            0.030029,            0.012467,           0.0011327,            0.006733,            0.006733,            0.006733
                  68,            0.034048,             0.02281,           0.0019566,             0.82623,             0.83749,             0.88676,             0.53696,            0.029962,            0.012443,           0.0011393,           0.0066835,           0.0066835,           0.0066835
                  69,            0.033852,            0.022791,           0.0019388,             0.82517,             0.84226,             0.88841,             0.53872,            0.029917,            0.012415,            0.001143,            0.006634,            0.006634,            0.006634
                  70,            0.033891,            0.022863,             0.00189,             0.82926,             0.84277,             0.88867,             0.53955,            0.029877,            0.012387,           0.0011502,           0.0065845,           0.0065845,           0.0065845
                  71,            0.033725,            0.022725,           0.0018713,             0.82677,             0.84339,             0.88767,             0.54066,            0.029821,            0.012369,           0.0011512,            0.006535,            0.006535,            0.006535
                  72,            0.033594,            0.022662,           0.0019959,             0.83366,             0.84335,             0.88925,             0.54171,            0.029766,             0.01234,           0.0011484,           0.0064855,           0.0064855,           0.0064855
                  73,            0.033684,            0.022588,           0.0018709,             0.82967,             0.84477,             0.89109,             0.54306,            0.029696,            0.012313,           0.0011453,            0.006436,            0.006436,            0.006436
                  74,            0.033585,            0.022517,           0.0018867,             0.82965,             0.84625,             0.89219,             0.54471,            0.029628,            0.012292,           0.0011356,           0.0063865,           0.0063865,           0.0063865
                  75,             0.03368,            0.022758,           0.0019606,             0.82908,             0.84695,             0.89392,             0.54565,            0.029572,            0.012271,           0.0011276,            0.006337,            0.006337,            0.006337
                  76,             0.03324,            0.022478,           0.0018086,             0.82816,             0.84681,             0.89466,             0.54574,            0.029522,            0.012249,            0.001128,           0.0062875,           0.0062875,           0.0062875
                  77,            0.033304,              0.0224,           0.0019693,             0.82709,             0.84606,             0.89453,             0.54692,            0.029488,            0.012234,           0.0011328,            0.006238,            0.006238,            0.006238
                  78,            0.033223,            0.022473,           0.0018259,              0.8301,             0.84785,             0.89584,             0.54795,            0.029455,            0.012218,           0.0011299,           0.0061885,           0.0061885,           0.0061885
                  79,            0.033156,            0.022385,           0.0019045,             0.82894,             0.84818,              0.8968,             0.54961,            0.029396,            0.012197,           0.0011227,            0.006139,            0.006139,            0.006139
                  80,            0.033023,            0.022384,           0.0018029,             0.83109,             0.84919,             0.89731,             0.55072,            0.029337,            0.012177,           0.0011173,           0.0060895,           0.0060895,           0.0060895
                  81,            0.032915,            0.022467,           0.0018269,             0.83541,             0.84632,             0.89838,             0.55169,            0.029287,            0.012159,           0.0011073,             0.00604,             0.00604,             0.00604
                  82,            0.032888,            0.022176,            0.001705,             0.83517,              0.8514,             0.89954,             0.55278,            0.029239,            0.012139,           0.0010994,           0.0059905,           0.0059905,           0.0059905
                  83,            0.032866,            0.022275,           0.0018136,             0.84001,             0.84923,             0.90057,             0.55369,             0.02919,             0.01212,           0.0010931,            0.005941,            0.005941,            0.005941
                  84,            0.032868,              0.0222,           0.0018684,             0.84159,             0.85157,             0.90086,               0.555,             0.02916,            0.012101,           0.0010883,           0.0058915,           0.0058915,           0.0058915
                  85,            0.032755,             0.02207,           0.0017076,             0.84451,              0.8491,             0.90129,             0.55615,            0.029117,            0.012083,           0.0010806,            0.005842,            0.005842,            0.005842
                  86,             0.03275,            0.021942,           0.0017273,             0.84124,             0.85074,             0.90191,             0.55755,            0.029067,            0.012067,           0.0010774,           0.0057925,           0.0057925,           0.0057925
                  87,            0.032652,            0.022159,           0.0017313,             0.83991,             0.85406,              0.9025,             0.55857,            0.029022,             0.01205,           0.0010776,            0.005743,            0.005743,            0.005743
                  88,            0.032421,            0.021868,           0.0016975,             0.84001,             0.85349,             0.90253,             0.55868,            0.028996,            0.012031,           0.0010721,           0.0056935,           0.0056935,           0.0056935
                  89,            0.032301,            0.021661,           0.0016919,             0.83812,             0.85485,             0.90265,             0.55902,            0.028971,            0.012017,           0.0010653,            0.005644,            0.005644,            0.005644
                  90,            0.032361,            0.021811,           0.0017264,             0.83633,             0.85693,             0.90292,              0.5595,             0.02894,            0.012002,           0.0010599,           0.0055945,           0.0055945,           0.0055945
                  91,             0.03231,            0.021841,           0.0016934,             0.83772,             0.85882,             0.90345,             0.55988,            0.028902,            0.011989,           0.0010534,            0.005545,            0.005545,            0.005545
                  92,            0.032125,            0.021871,           0.0017754,             0.84219,             0.85742,             0.90364,             0.56112,            0.028868,            0.011976,           0.0010473,           0.0054955,           0.0054955,           0.0054955
